FSY_ID	FSY_CODE	FSY_YEAR	FSY_HALF_YEAR	FSY_QUARTER	FSY_PERIOD	FSY_WEEK	FSY_FROM_DT	FSY_TO_DT
1	20101	2010	1	1	1	1	20090628	20090704
2	20102	2010	1	1	1	2	20090705	20090711
3	20103	2010	1	1	1	3	20090712	20090718
4	20104	2010	1	1	1	4	20090719	20090725
5	20105	2010	1	1	1	5	20090726	20090801
6	20106	2010	1	1	2	6	20090802	20090808
7	20107	2010	1	1	2	7	20090809	20090815
8	20108	2010	1	1	2	8	20090816	20090822
9	20109	2010	1	1	2	9	20090823	20090829
10	201010	2010	1	1	3	10	20090830	20090905
11	201011	2010	1	1	3	11	20090906	20090912
12	201012	2010	1	1	3	12	20090913	20090919
13	201013	2010	1	1	3	13	20090920	20090926
14	201014	2010	1	2	4	14	20090927	20091003
15	201015	2010	1	2	4	15	20091004	20091010
16	201016	2010	1	2	4	16	20091011	20091017
17	201017	2010	1	2	4	17	20091018	20091024
18	201018	2010	1	2	4	18	20091025	20091031
19	201019	2010	1	2	5	19	20091101	20091107
20	201020	2010	1	2	5	20	20091108	20091114
21	201021	2010	1	2	5	21	20091115	20091121
22	201022	2010	1	2	5	22	20091122	20091128
23	201023	2010	1	2	6	23	20091129	20091205
24	201024	2010	1	2	6	24	20091206	20091212
25	201025	2010	1	2	6	25	20091213	20091219
26	201026	2010	1	2	6	26	20091220	20091226
27	201027	2010	2	3	7	27	20091227	20100102
28	201028	2010	2	3	7	28	20100103	20100109
29	201029	2010	2	3	7	29	20100110	20100116
30	201030	2010	2	3	7	30	20100117	20100123
31	201031	2010	2	3	7	31	20100124	20100130
32	201032	2010	2	3	8	32	20100131	20100206
33	201033	2010	2	3	8	33	20100207	20100213
34	201034	2010	2	3	8	34	20100214	20100220
35	201035	2010	2	3	8	35	20100221	20100227
36	201036	2010	2	3	9	36	20100228	20100306
37	201037	2010	2	3	9	37	20100307	20100313
38	201038	2010	2	3	9	38	20100314	20100320
39	201039	2010	2	3	9	39	20100321	20100327
40	201040	2010	2	4	10	40	20100328	20100403
41	201041	2010	2	4	10	41	20100404	20100410
42	201042	2010	2	4	10	42	20100411	20100417
43	201043	2010	2	4	10	43	20100418	20100424
44	201044	2010	2	4	10	44	20100425	20100501
45	201045	2010	2	4	11	45	20100502	20100508
46	201046	2010	2	4	11	46	20100509	20100515
47	201047	2010	2	4	11	47	20100516	20100522
48	201048	2010	2	4	11	48	20100523	20100529
49	201049	2010	2	4	12	49	20100530	20100605
50	201050	2010	2	4	12	50	20100606	20100612
51	201051	2010	2	4	12	51	20100613	20100619
52	201052	2010	2	4	12	52	20100620	20100626
53	201053	2010	2	4	12	53	20100627	20100703
54	20111	2011	1	1	1	1	20100704	20100710
55	20112	2011	1	1	1	2	20100711	20100717
56	20113	2011	1	1	1	3	20100718	20100724
57	20114	2011	1	1	1	4	20100725	20100731
58	20115	2011	1	1	1	5	20100801	20100807
59	20116	2011	1	1	2	6	20100808	20100814
60	20117	2011	1	1	2	7	20100815	20100821
61	20118	2011	1	1	2	8	20100822	20100828
62	20119	2011	1	1	2	9	20100829	20100904
63	201110	2011	1	1	3	10	20100905	20100911
64	201111	2011	1	1	3	11	20100912	20100918
65	201112	2011	1	1	3	12	20100919	20100925
66	201113	2011	1	1	3	13	20100926	20101002
67	201114	2011	1	2	4	14	20101003	20101009
68	201115	2011	1	2	4	15	20101010	20101016
69	201116	2011	1	2	4	16	20101017	20101023
70	201117	2011	1	2	4	17	20101024	20101030
71	201118	2011	1	2	4	18	20101031	20101106
72	201119	2011	1	2	5	19	20101107	20101113
73	201120	2011	1	2	5	20	20101114	20101120
74	201121	2011	1	2	5	21	20101121	20101127
75	201122	2011	1	2	5	22	20101128	20101204
76	201123	2011	1	2	6	23	20101205	20101211
77	201124	2011	1	2	6	24	20101212	20101218
78	201125	2011	1	2	6	25	20101219	20101225
79	201126	2011	1	2	6	26	20101226	20110101
80	201127	2011	2	3	7	27	20110102	20110108
81	201128	2011	2	3	7	28	20110109	20110115
82	201129	2011	2	3	7	29	20110116	20110122
83	201130	2011	2	3	7	30	20110123	20110129
84	201131	2011	2	3	7	31	20110130	20110205
85	201132	2011	2	3	8	32	20110206	20110212
86	201133	2011	2	3	8	33	20110213	20110219
87	201134	2011	2	3	8	34	20110220	20110226
88	201135	2011	2	3	8	35	20110227	20110305
89	201136	2011	2	3	9	36	20110306	20110312
90	201137	2011	2	3	9	37	20110313	20110319
91	201138	2011	2	3	9	38	20110320	20110326
92	201139	2011	2	3	9	39	20110327	20110402
93	201140	2011	2	4	10	40	20110403	20110409
94	201141	2011	2	4	10	41	20110410	20110416
95	201142	2011	2	4	10	42	20110417	20110423
96	201143	2011	2	4	10	43	20110424	20110430
97	201144	2011	2	4	10	44	20110501	20110507
98	201145	2011	2	4	11	45	20110508	20110514
99	201146	2011	2	4	11	46	20110515	20110521
100	201147	2011	2	4	11	47	20110522	20110528
101	201148	2011	2	4	11	48	20110529	20110604
102	201149	2011	2	4	12	49	20110605	20110611
103	201150	2011	2	4	12	50	20110612	20110618
104	201151	2011	2	4	12	51	20110619	20110625
105	201152	2011	2	4	12	52	20110626	20110702
106	20091	2009	1	1	1	1	20080629	20080705
107	20092	2009	1	1	1	2	20080706	20080712
108	20093	2009	1	1	1	3	20080713	20080719
109	20094	2009	1	1	1	4	20080720	20080726
110	20095	2009	1	1	1	5	20080727	20080802
111	20096	2009	1	1	2	6	20080803	20080809
112	20097	2009	1	1	2	7	20080810	20080816
113	20098	2009	1	1	2	8	20080817	20080823
114	20099	2009	1	1	2	9	20080824	20080830
115	200910	2009	1	1	3	10	20080831	20080906
116	200911	2009	1	1	3	11	20080907	20080913
117	200912	2009	1	1	3	12	20080914	20080920
118	200913	2009	1	1	3	13	20080921	20080927
119	200914	2009	1	2	4	14	20080928	20081004
120	200915	2009	1	2	4	15	20081005	20081011
121	200916	2009	1	2	4	16	20081012	20081018
122	200917	2009	1	2	4	17	20081019	20081025
123	200918	2009	1	2	4	18	20081026	20081101
124	200919	2009	1	2	5	19	20081102	20081108
125	200920	2009	1	2	5	20	20081109	20081115
126	200921	2009	1	2	5	21	20081116	20081122
127	200922	2009	1	2	5	22	20081123	20081129
128	200923	2009	1	2	6	23	20081130	20081206
129	200924	2009	1	2	6	24	20081207	20081213
130	200925	2009	1	2	6	25	20081214	20081220
131	200926	2009	1	2	6	26	20081221	20081227
132	200927	2009	2	3	7	27	20081228	20090103
133	200928	2009	2	3	7	28	20090104	20090110
134	200929	2009	2	3	7	29	20090111	20090117
135	200930	2009	2	3	7	30	20090118	20090124
136	200931	2009	2	3	7	31	20090125	20090131
137	200932	2009	2	3	8	32	20090201	20090207
138	200933	2009	2	3	8	33	20090208	20090214
139	200934	2009	2	3	8	34	20090215	20090221
140	200935	2009	2	3	8	35	20090222	20090228
141	200936	2009	2	3	9	36	20090301	20090307
142	200937	2009	2	3	9	37	20090308	20090314
143	200938	2009	2	3	9	38	20090315	20090321
144	200939	2009	2	3	9	39	20090322	20090328
145	200940	2009	2	4	10	40	20090329	20090404
146	200941	2009	2	4	10	41	20090405	20090411
147	200942	2009	2	4	10	42	20090412	20090418
148	200943	2009	2	4	10	43	20090419	20090425
149	200944	2009	2	4	10	44	20090426	20090502
150	200945	2009	2	4	11	45	20090503	20090509
151	200946	2009	2	4	11	46	20090510	20090516
152	200947	2009	2	4	11	47	20090517	20090523
153	200948	2009	2	4	11	48	20090524	20090530
154	200949	2009	2	4	12	49	20090531	20090606
155	200950	2009	2	4	12	50	20090607	20090613
156	200951	2009	2	4	12	51	20090614	20090620
157	200952	2009	2	4	12	52	20090621	20090627
158	20121	2012	1	1	1	1	20110703	20110709
159	20122	2012	1	1	1	2	20110710	20110716
160	20123	2012	1	1	1	3	20110717	20110723
161	20124	2012	1	1	1	4	20110724	20110730
162	20125	2012	1	1	1	5	20110731	20110806
163	20126	2012	1	1	2	6	20110807	20110813
164	20127	2012	1	1	2	7	20110814	20110820
165	20128	2012	1	1	2	8	20110821	20110827
166	20129	2012	1	1	2	9	20110828	20110903
167	201210	2012	1	1	3	10	20110904	20110910
168	201211	2012	1	1	3	11	20110911	20110917
169	201212	2012	1	1	3	12	20110918	20110924
170	201213	2012	1	1	3	13	20110925	20111001
171	201214	2012	1	2	4	14	20111002	20111008
172	201215	2012	1	2	4	15	20111009	20111015
173	201216	2012	1	2	4	16	20111016	20111022
174	201217	2012	1	2	4	17	20111023	20111029
175	201218	2012	1	2	4	18	20111030	20111105
176	201219	2012	1	2	5	19	20111106	20111112
177	201220	2012	1	2	5	20	20111113	20111119
178	201221	2012	1	2	5	21	20111120	20111126
179	201222	2012	1	2	5	22	20111127	20111203
180	201223	2012	1	2	6	23	20111204	20111210
181	201224	2012	1	2	6	24	20111211	20111217
182	201225	2012	1	2	6	25	20111218	20111224
183	201226	2012	1	2	6	26	20111225	20111231
184	201227	2012	2	3	7	27	20120101	20120107
185	201228	2012	2	3	7	28	20120108	20120114
186	201229	2012	2	3	7	29	20120115	20120121
187	201230	2012	2	3	7	30	20120122	20120128
188	201231	2012	2	3	7	31	20120129	20120204
189	201232	2012	2	3	8	32	20120205	20120211
190	201233	2012	2	3	8	33	20120212	20120218
191	201234	2012	2	3	8	34	20120219	20120225
192	201235	2012	2	3	8	35	20120226	20120303
193	201236	2012	2	3	9	36	20120304	20120310
194	201237	2012	2	3	9	37	20120311	20120317
195	201238	2012	2	3	9	38	20120318	20120324
196	201239	2012	2	3	9	39	20120325	20120331
197	201240	2012	2	4	10	40	20120401	20120407
198	201241	2012	2	4	10	41	20120408	20120414
199	201242	2012	2	4	10	42	20120415	20120421
200	201243	2012	2	4	10	43	20120422	20120428
201	201244	2012	2	4	10	44	20120429	20120505
202	201245	2012	2	4	11	45	20120506	20120512
203	201246	2012	2	4	11	46	20120513	20120519
204	201247	2012	2	4	11	47	20120520	20120526
205	201248	2012	2	4	11	48	20120527	20120602
206	201249	2012	2	4	12	49	20120603	20120609
207	201250	2012	2	4	12	50	20120610	20120616
208	201251	2012	2	4	12	51	20120617	20120623
209	201252	2012	2	4	12	52	20120624	20120630
210	20131	2013	1	1	1	1	20120701	20120707
211	20132	2013	1	1	1	2	20120708	20120714
212	20133	2013	1	1	1	3	20120715	20120721
213	20134	2013	1	1	1	4	20120722	20120728
214	20135	2013	1	1	1	5	20120729	20120804
215	20136	2013	1	1	2	6	20120805	20120811
216	20137	2013	1	1	2	7	20120812	20120818
217	20138	2013	1	1	2	8	20120819	20120825
218	20139	2013	1	1	2	9	20120826	20120901
219	201310	2013	1	1	3	10	20120902	20120908
220	201311	2013	1	1	3	11	20120909	20120915
221	201312	2013	1	1	3	12	20120916	20120922
222	201313	2013	1	1	3	13	20120923	20120929
223	201314	2013	1	2	4	14	20120930	20121006
224	201315	2013	1	2	4	15	20121007	20121013
225	201316	2013	1	2	4	16	20121014	20121020
226	201317	2013	1	2	4	17	20121021	20121027
227	201318	2013	1	2	4	18	20121028	20121103
228	201319	2013	1	2	5	19	20121104	20121110
229	201320	2013	1	2	5	20	20121111	20121117
230	201321	2013	1	2	5	21	20121118	20121124
231	201322	2013	1	2	5	22	20121125	20121201
232	201323	2013	1	2	6	23	20121202	20121208
233	201324	2013	1	2	6	24	20121209	20121215
234	201325	2013	1	2	6	25	20121216	20121222
235	201326	2013	1	2	6	26	20121223	20121229
236	201327	2013	2	3	7	27	20121230	20130105
237	201328	2013	2	3	7	28	20130106	20130112
238	201329	2013	2	3	7	29	20130113	20130119
239	201330	2013	2	3	7	30	20130120	20130126
240	201331	2013	2	3	7	31	20130127	20130202
241	201332	2013	2	3	8	32	20130203	20130209
242	201333	2013	2	3	8	33	20130210	20130216
243	201334	2013	2	3	8	34	20130217	20130223
244	201335	2013	2	3	8	35	20130224	20130302
245	201336	2013	2	3	9	36	20130303	20130309
246	201337	2013	2	3	9	37	20130310	20130316
247	201338	2013	2	3	9	38	20130317	20130323
248	201339	2013	2	3	9	39	20130324	20130330
249	201340	2013	2	4	10	40	20130331	20130406
250	201341	2013	2	4	10	41	20130407	20130413
251	201342	2013	2	4	10	42	20130414	20130420
252	201343	2013	2	4	10	43	20130421	20130427
253	201344	2013	2	4	10	44	20130428	20130504
254	201345	2013	2	4	11	45	20130505	20130511
255	201346	2013	2	4	11	46	20130512	20130518
256	201347	2013	2	4	11	47	20130519	20130525
257	201348	2013	2	4	11	48	20130526	20130601
258	201349	2013	2	4	12	49	20130602	20130608
259	201350	2013	2	4	12	50	20130609	20130615
260	201351	2013	2	4	12	51	20130616	20130622
261	201352	2013	2	4	12	52	20130623	20130629
262	20141	2014	1	1	1	1	20130630	20130706
263	20142	2014	1	1	1	2	20130707	20130713
264	20143	2014	1	1	1	3	20130714	20130720
265	20144	2014	1	1	1	4	20130721	20130727
266	20145	2014	1	1	1	5	20130728	20130803
267	20146	2014	1	1	2	6	20130804	20130810
268	20147	2014	1	1	2	7	20130811	20130817
269	20148	2014	1	1	2	8	20130818	20130824
270	20149	2014	1	1	2	9	20130825	20130831
271	201410	2014	1	1	3	10	20130901	20130907
272	201411	2014	1	1	3	11	20130908	20130914
273	201412	2014	1	1	3	12	20130915	20130921
274	201413	2014	1	1	3	13	20130922	20130928
275	201414	2014	1	2	4	14	20130929	20131005
276	201415	2014	1	2	4	15	20131006	20131012
277	201416	2014	1	2	4	16	20131013	20131019
278	201417	2014	1	2	4	17	20131020	20131026
279	201418	2014	1	2	4	18	20131027	20131102
280	201419	2014	1	2	5	19	20131103	20131109
281	201420	2014	1	2	5	20	20131110	20131116
282	201421	2014	1	2	5	21	20131117	20131123
283	201422	2014	1	2	5	22	20131124	20131130
284	201423	2014	1	2	6	23	20131201	20131207
285	201424	2014	1	2	6	24	20131208	20131214
286	201425	2014	1	2	6	25	20131215	20131221
287	201426	2014	1	2	6	26	20131222	20131228
288	201427	2014	2	3	7	27	20131229	20140104
289	201428	2014	2	3	7	28	20140105	20140111
290	201429	2014	2	3	7	29	20140112	20140118
291	201430	2014	2	3	7	30	20140119	20140125
292	201431	2014	2	3	7	31	20140126	20140201
293	201432	2014	2	3	8	32	20140202	20140208
294	201433	2014	2	3	8	33	20140209	20140215
295	201434	2014	2	3	8	34	20140216	20140222
296	201435	2014	2	3	8	35	20140223	20140301
297	201436	2014	2	3	9	36	20140302	20140308
298	201437	2014	2	3	9	37	20140309	20140315
299	201438	2014	2	3	9	38	20140316	20140322
